	hCiPSCs_2_corr	hCiPSCs_2_pval	hCiPSCs_2_qval	hCiPSCs_2_ci_low	hCiPSCs_2_ci_high
FAM60A	0.20539374108206637	1.7495546296670084e-77	7.359296814578033e-76	0.18430964114666606	0.22628889535119068
SNRPF	0.204574093105434	7.287450742138316e-77	3.001518774418219e-75	0.18348297678415004	0.22547695177760713
ZFP42	0.20445815250462193	8.912586603667453e-77	3.5959558602960313e-75	0.1833660461117893	0.22536209863352608
SET	0.20427824096484096	1.2177607174517935e-76	4.815025876804391e-75	0.1831845994040521	0.22518387341109636
TBCA	0.20352053739789494	4.518733198421774e-76	1.7516736339764407e-74	0.18242044619646125	0.22443325647318998
SERBP1	0.202850254742753	1.4348740773425695e-75	5.455280867127423e-74	0.1817444792830576	0.22376922213256065
POLR3G	0.20229861274496677	3.7018278515502355e-75	1.3808516344367577e-73	0.18118817410887358	0.22322270792281818
RP11-20D14.6	0.20199611487891203	6.217203597320858e-75	2.2761873170191364e-73	0.18088312488317532	0.22292301634099396
USP44	0.201811852849694	8.522687537031619e-75	3.06351877467482e-73	0.18069731072242015	0.22274046177898335
EIF3A	0.20173427040344752	9.732186261957967e-75	3.4358093285519465e-73	0.18061907521120618	0.22266359781268638
SEPHS1	0.2016249858513305	1.173149233589463e-74	4.0689754996602955e-73	0.1805088711889116	0.22255532488777263
HIST1H1B	0.2014700255384221	1.5287150970438908e-74	5.210809908372021e-73	0.1803526080197615	0.22240179812917443
HNRNPU	0.20138912669770975	1.7551362675190686e-74	5.881193899805422e-73	0.18027102943124898	0.22232164727978787
MSH2	0.20136972958246946	1.8142173284565994e-74	5.977846097264494e-73	0.18025146937605768	0.22230242946837742
AK4	0.20047007565174674	8.392502115902331e-74	2.719996177563756e-72	0.17934427650995713	0.2214110739218234
HIST1H2AH	0.19965539531793325	3.337522613325131e-73	1.0642390655715782e-71	0.1785228003014299	0.22060387798697417
IQGAP2	0.19941628923263732	4.998887155659646e-73	1.5686983978950985e-71	0.17828170524054374	0.22036696310196952
SLIRP	0.19934386679843752	5.648966681449897e-73	1.7450011139416322e-71	0.17820868086962957	0.22029520386894014
RPS26	0.19761442548292552	1.0317387300934064e-71	3.138073029837945e-70	0.17646493451347242	0.2185815323679863
DNMT3B	0.1974167679123858	1.4354440307948439e-71	4.29980734679001e-70	0.17626565047478096	0.21838566889172242
HNRNPM	0.19683470569469982	3.787924146926172e-71	1.1177203042497078e-69	0.17567880870269661	0.21780888011189337
C1QBP	0.1941334416469343	3.2825882139909514e-69	9.54364249861781e-68	0.17295556024320446	0.21513189752522063
YWHAE	0.19400003705982424	4.084652321880717e-69	1.1703416870084315e-67	0.17282107832418928	0.2149996839244275
HNRNPA3	0.1927096405713488	3.3557014213227154e-68	9.477459585650012e-67	0.17152030177336236	0.21372076787970035
PKIB	0.19209615113994255	9.083970017467449e-68	2.529437848525795e-66	0.17090190328967506	0.21311271130070697
SNRPG	0.1917754683604328	1.5266751904685498e-67	4.1919956271615597e-66	0.17057866109888384	0.2127948618987496
GAL	0.19160770071793576	2.0023461070714864e-67	5.422792128329217e-66	0.1704095562985552	0.21262857478690142
NOP58	0.1911442206363646	4.230287314264693e-67	1.1301727054461214e-65	0.16994238863295327	0.21216917853691175
CYCS	0.1908357904670936	6.951148915637046e-67	1.8323228541619252e-65	0.1696315097832261	0.21186346086841182
HMGN1	0.18974917101214656	3.9710060880707255e-66	1.0329840836994506e-64	0.1685362970906935	0.21078636493912078
RP11-1144P22.1	0.18954195727338613	5.529569084386689e-66	1.4197348155626601e-64	0.16832745060404755	0.2105809614969889
HIST1H1C	0.18937665025946862	7.199110529018177e-66	1.8246976302396072e-64	0.16816084241349602	0.21041709733476474
JADE1	0.18935474550987738	7.455119112422052e-66	1.8656671500327084e-64	0.16813876533658983	0.21039538368801683
NMRK2	0.18930791158449464	8.033318510854533e-66	1.9852338369949262e-64	0.16809156303444825	0.21034895828457445
SPINT2	0.1884531952457155	3.128899156946168e-65	7.63683164602787e-64	0.16723014093123886	0.20950168077691522
HSP90AA1	0.18792926439559351	7.176579730954098e-65	1.7302558692800308e-63	0.16670211554680012	0.20898229421445358
HELLS	0.18747918026557706	1.4613500958440631e-64	3.4808302885345937e-63	0.16624852371837925	0.20853610438190132
SALL4	0.18681133181492357	4.183390446293067e-64	9.84590822895404e-63	0.16557548699493388	0.20787401825439483
EPCAM	0.18660420269686895	5.7920639019268526e-64	1.3471659216599278e-62	0.16536675278453347	0.2076686723644853
POU5F1	0.18629552562646198	9.399359737502298e-64	2.160759790818842e-62	0.1650556872332583	0.20736264932986945
FOXH1	0.18596207388273253	1.5842125496128997e-63	3.5999864489479343e-62	0.1647196600550249	0.2070320600040991
FKBP4	0.1847690577239164	1.0170257686508414e-62	2.2848408461621742e-61	0.163517469943199	0.20584924553508724
DEK	0.18419742036542272	2.4674876926515097e-62	5.481149627384308e-61	0.16294145922242123	0.20528247451951415
RBM8A	0.1838276613716566	4.370682620574197e-62	9.600932823194652e-61	0.16256887907206471	0.20491585574759572
MT1H	0.18347894851028407	7.485393609742572e-62	1.6262223259847323e-60	0.16221751118462185	0.20457009894947864
FABP5	0.18314530582917934	1.2512122590932146e-61	2.68874634372531e-60	0.16188133326578621	0.20423927965379554
SEMA6A	0.18235410342223998	4.2137577229488236e-61	8.957633352978305e-60	0.16108413850949424	0.2034547533805425
COX5A	0.18191846550140278	8.202887089928573e-61	1.7252242315732753e-59	0.16064521303477	0.2030227797877386
