	hCiPSCs_3_corr	hCiPSCs_3_pval	hCiPSCs_3_qval	hCiPSCs_3_ci_low	hCiPSCs_3_ci_high
MIR205HG	0.12968174485373377	1.9793643910016886e-31	2.7557770429650272e-30	0.1080752085785953	0.15116582611424337
COX8A	0.1295914239450002	2.1798278458547235e-31	3.0136501057725795e-30	0.10798441592563233	0.15107605932409676
SNRPG	0.12937683421839682	2.7405739720394874e-31	3.76257968244588e-30	0.10776870684675913	0.15086278468401818
RPL36AL	0.12923284484536307	3.1948944684251293e-31	4.356073354535504e-30	0.107623967530661	0.1507196766106709
TIMM13	0.1288913608167926	4.5934013994872835e-31	6.21996888136052e-30	0.10728070860534834	0.1503802790648115
H3F3B	0.12885894768999828	4.754212532665597e-31	6.393930732707406e-30	0.10724812727585926	0.1503480637204642
GSTP1	0.12877267133989329	5.210000367262602e-31	6.95957481491768e-30	0.10716140343474857	0.15026231359971787
LIN28A	0.12828139518527373	8.764196917045765e-31	1.1628736446308374e-29	0.10666758543738379	0.1497740277461319
EZR	0.12812469882803412	1.0341164857713637e-30	1.3629655282466574e-29	0.10651008058240774	0.14961828296343796
PPIB	0.12787407483356478	1.3468270789855834e-30	1.7633623411619197e-29	0.10625816571174317	0.14936917872337843
ESRP1	0.12767664153629724	1.6578270169252627e-30	2.1562657976718713e-29	0.10605971745885075	0.14917294071700882
FBXO2	0.1276360043129257	1.7301855773782242e-30	2.2356711676318624e-29	0.10601887154328225	0.14913254930737094
UQCR10	0.1273039169885364	2.4517932195552567e-30	3.14752934744204e-29	0.10568508152055973	0.1488024680839176
RPL9	0.12712756337339434	2.949269748231987e-30	3.7617459950029925e-29	0.10550782567492235	0.14862717785286908
SNRPB	0.1270855735485533	3.0817724010115305e-30	3.905553869743459e-29	0.10546562123135236	0.14858544102081317
YWHAZ	0.12705568137042692	3.1796828673374526e-30	4.0039700819911745e-29	0.10543557631554466	0.1485557288992995
SLC25A5	0.12702051111562054	3.2988399339392684e-30	4.1277256641759077e-29	0.10540022640463018	0.14852077044408724
METAP2	0.12694419184812022	3.5728644913451456e-30	4.4424862260310397e-29	0.10532351747225667	0.14844491059576745
ATP5D	0.12661475917516005	5.0391881985772546e-30	6.22654691786702e-29	0.1049924057603401	0.1481174581055738
SNRPE	0.12660081885405397	5.112948758682636e-30	6.278447016096628e-29	0.10497839449449899	0.14810360147419505
ARID3A	0.12646854387150422	5.868370349967754e-30	7.161585297460647e-29	0.10484544676856702	0.1479721201749901
RPSA	0.12637715892311632	6.453953869565055e-30	7.827893742411112e-29	0.10475359749271625	0.14788128311542212
RPL6	0.12636128146755	6.561448794766819e-30	7.909746504423172e-29	0.10473763940131829	0.14786550081447214
EIF5B	0.12609204654960907	8.67973916769878e-30	1.0399905657297265e-28	0.10446703883235846	0.14759787777132477
HNRNPAB	0.12605923867657248	8.98038188386837e-30	1.0695310231570945e-28	0.10443406476549506	0.14756526609954432
PTMS	0.12586324942992494	1.1004098270473996e-29	1.3027007353728798e-28	0.10423708369254497	0.1473704479552935
TXN	0.12567861350030973	1.3322087569570328e-29	1.5677242336333654e-28	0.10405151494350075	0.14718691376152315
PTMA	0.12545682283851275	1.675445969333186e-29	1.9599743676755672e-28	0.10382860573956369	0.14696644458236194
ZIC2	0.12525999594250542	2.0527282274167502e-29	2.3872021797664205e-28	0.10363078801920268	0.14677078863890064
CCND1	0.12506547529189221	2.5081832800807298e-29	2.8998118974968436e-28	0.1034352898350357	0.14657742356691075
EIF4A1	0.12485382502612902	3.1181214502301243e-29	3.5840268064563697e-28	0.10322257785197272	0.1463670287732435
PLA2G16	0.1245305166284134	4.3449183653905323e-29	4.965262201374036e-28	0.10289765143734074	0.1460456344266172
CRABP1	0.12434366710703827	5.261139739811816e-29	5.977743256096529e-28	0.10270986892101501	0.14585988902132885
ATP5L	0.12432976452050613	5.336514114540134e-29	6.028736231111912e-28	0.10269589697638823	0.14584606852620333
C9orf135	0.12422126152041775	5.962772792520976e-29	6.697955574326119e-28	0.10258685296302936	0.14573820592151407
MZT2B	0.1241986382747351	6.102260250962647e-29	6.815914415905736e-28	0.10256411697974342	0.14571571613600903
PRDX6	0.12406893640316204	6.966733436447473e-29	7.737770788683513e-28	0.10243376920580617	0.14558677897895222
RPS20	0.12402458948383231	7.289340963089519e-29	8.050853119568703e-28	0.10238920161369489	0.14554269335873155
ALPL	0.12399979476920159	7.47612690914042e-29	8.211279388539227e-28	0.10236428355701768	0.14551804470126187
DDX21	0.12386362528740408	8.589807038752507e-29	9.382347246195418e-28	0.10222743718009278	0.1453826768709942
NCL	0.12383156620253709	8.875071288484363e-29	9.640668097436036e-28	0.10219521884940419	0.14535080640591785
RBPMS2	0.1236818859750159	1.0336326488380126e-28	1.1166621566954924e-27	0.10204479572192313	0.1452020062317813
AP2M1	0.12345734602343547	1.2987108272937254e-28	1.3954083182389647e-27	0.1018191431785789	0.14497878464999503
USP28	0.12319135908860757	1.701064159944076e-28	1.8178399157888857e-27	0.10155184116397019	0.144714356603154
