	hCiPSCs_1	hCiPSCs_2	hCiPSCs_3	hCiPSCs_4	hCiPSCs_5	hCiPSCs_6	mean_corr
EPCAM		0.194012896005648	0.14994412744323268	0.2004408695742972	0.20957284565326317		0.18849268466911026
TOMM7		0.1685081676845305		0.21515125540184904	0.17852507419909058		0.18739483242849006
RP11-20D14.6		0.20405635117290613			0.17011268188112302		0.18708451652701458
PGAM1		0.19041639961167586	0.12208637184066587	0.2410491622275198	0.19472163799146183		0.18706839291783084
MORF4L1		0.16382838446658965	0.19086516273945903		0.20561495473075378		0.18676950064560083
LRPPRC		0.20303918503353155	0.1358961048440513		0.22129339553885272		0.18674289513881184
PFN1		0.17695036464785166	0.14740296381471865	0.22638766635369748	0.19386841958745857		0.1861523536009316
TRIML2	0.1671900360295261	0.1780670154178253			0.21304010317222935		0.18609905153986026
H2AFZ		0.1649851043340987		0.20653782341742877			0.18576146387576373
CTC-260E6.6	0.14279643979944912	0.17584816550174934			0.2382472990289208		0.1856306347767064
FAM64A					0.18553279570962547		0.18553279570962547
UBL5				0.18540846485413778			0.18540846485413778
CLDN7		0.18160423891617236		0.20613610984684128	0.16821187026062417		0.18531740634121263
PRDX1		0.1838251232058372	0.1341904093932114	0.2387402375213227	0.1841557280432376		0.18522787454090223
SOX11			0.1851795869251479				0.1851795869251479
SLC7A8		0.15449430520393823	0.18991150472177368		0.20966972401420617		0.18469184464663935
AURKB				0.15836826721486535	0.2108310844169448		0.18459967581590508
HSP90AA1		0.2034007618283525	0.14646238179430604	0.17096643075378484	0.21595241173391325		0.18419549652758915
RPL36AL			0.14302993005768094	0.22522579144741348			0.18412786075254722
YBX1		0.182968876202005	0.1709358553169927	0.1835370103509421	0.1988425100422491		0.1840710629780472
GSTP1			0.14256899736212636	0.22551339577254897			0.18404119656733767
CTSV		0.1805336082241286	0.1903775661407376		0.18083335985661056		0.18391484474049224
RP1-46F2.2		0.14333468453254505		0.22446147288982243			0.18389807871118374
GABRB3		0.17948049312563383	0.16139720813872632		0.21079892464926536		0.18389220863787514
KIF20B		0.1703305201647119	0.1367533993140065		0.24445220009763394		0.18384537319211744
PABPC1		0.18708345221515726	0.16010536699400726		0.20099094424943184		0.18272658781953213
PMAIP1					0.1824269200497621		0.1824269200497621
PRDX6			0.13833780999481599	0.2263168938761335			0.18232735193547472
FOXH1		0.1871661382040798	0.15953954481242696	0.18552670285439107	0.19417282210977965		0.18160130199516938
HNRNPA2B1		0.16553447973900068			0.19737250666450243		0.18145349320175155
ATP5J2		0.15900134134809876	0.14945626044226545	0.2327998217165953			0.1804191411689865
KRTCAP3		0.18179373685708514		0.18158990395800845	0.17724355980737225		0.18020906687415528
ESRP1		0.1638460805702597	0.13012611660351867		0.2462394983207395		0.1800705651648393
PWAR6	0.06524424789929123	0.19153883327557492	0.2451268080254857		0.21829321344183691		0.1800507756605472
EIF5A		0.18578388659326875	0.12773185940645884	0.2109714888048367	0.1948995033457226		0.17984668453757172
TUBB		0.17046688743822647	0.14784260999942617	0.20099108033216304	0.19990225067126738		0.17980070711027074
ATPIF1				0.17963239927971908			0.17963239927971908
RPSA		0.17368305834230746	0.13800764462923693	0.2255640299538242	0.17980432532797297		0.1792647645633354
METAP2		0.1820063472282747	0.1572714565693854		0.19775382988908602		0.1790105445622487
JADE1		0.20148106153222362	0.12228839876752652		0.21185715805727665		0.17854220611900892
EIF4A1		0.16296498681837093	0.13799904425103376	0.234672121811399	0.17786293286198873		0.1783747714356981
HSPA8					0.17833111494861734		0.17833111494861734
NMRK2		0.19003039848061884	0.1403622549365092	0.200885319406951	0.18173051108627522		0.17825212097758858
SSBP1		0.18711998826114765	0.1309347547223688	0.21340769633854306	0.1811790759515411		0.17816037881840013
